Address,Price,livingArea,bedrooms,bathroom
['6601 Piazza Dr'],['1900'],"['3506', '3506', '\\""3', '2197', '1937', '2367', '2309', '3506', '3000', '3506', '1507', '1554', '1753', '1612', '1753']","['5', '5', '5', '5', '3', '3', '4', '6', '6', '6', '4', '3', '5', '4', '5']","['3', '3', '3', '3', '2', '2', '2.5', '3', '4', '3', '3.5', '5', '3', '3', '3']"
['8138 Green Garden Dr'],['1580'],"['2250', '2250', '\\""2', '1800', '1111', 'null', 'null', '1527', '1164', '925', '2238', '1282']","['3', '3', '3', '3', '3', '0', '0', '3', '4', '3', '3', '4']","['2.5', '2.5', '3', '2', '2.5', 'null', 'null', '3', '2.5', '2.5', '3', '3']"
['7475 Garnet Dr'],['1625'],"['1924', '1924', '\\""1', '2232', '910', '1155', '1405', '2232', '1116', '1006', '1116', '975']","['3', '3', '3', '4', '3', '2', '3', '4', '3', '3', '4', '3']","['3', '3', '3', '2.5', '1', '1', '1', '3', '2.5', '2.5', '2.5', '1']"
['11849 Registry Blvd'],['1495'],"['2358', '2358', '\\""2', '2228', '2992', '1660', '2228', '2137', '1406', '2025', '1869', '1550', '2188', '1094']","['4', '4', '4', '3', '5', '3', '4', '4', '4', '4', '3', '4', '3', '4']","['3', '3', '3', '3', '2', '2.5', '3', '3', '3', '3', '2.5', '3.5', '3', '3']"
['886 Terance Ave'],['1450'],"['2200', '2200', '\\""2', '1514', '1308', '1994', '1252', '807', '1892', '1041', '1524', '1874', '893', '1882']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2', '2', '3', '2', '2.5', '2.5', '2.5', '2', '3', '2.5', '2']"
['395 River Oak Dr'],['1050'],"['1000', '1000', '\\""1', '1128', '1748', '1001', '1100', '1500', '1372', '1025', '832']","['2', '2', '2', '5', '5', '2', '3', '3', '3', '4', '3']","['1.5', '1.5', '2', '4', '2', '1', '1', '1.5', '2', '2', '2']"
['3684 Brookwood Blvd'],['1925'],"['1458', '1458', '\\""1', '1488', '1525', '1609', '1458', '1734', '729', '867', '692', '1384', '1494']","['3', '3', '3', '3', '3', '2', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2', '2.5', '2.5', '3', '2.5', '2.5', '2.5', '3', '2.5']"
['2301 Nicole Dr'],['1625'],"['1440', '1440', '\\""1', '1608', '1440', '1884', '1884', '696', '804', '942', '827']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '4']","['2.5', '2.5', '3', '3', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5']"
['3053 Menlo Park Dr'],['1100'],"['1310', '1310', '\\""1', '1597', 'null', '1410', '1228', '1367', '1351', '1354', '1227', '1367']","['3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3']","['2', '2', '2', '2.5', '2', '2', '2', '3', '1.5', '2', '2', '2']"
['658 Raven Ct'],['1225'],"['1650', '1650', '\\""1', '1344', '1632', '1756', '1196', '1304', '1252', '1824', '765']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2', '2', '2.5', '2', '1', '2', '3']"
['8089 Birch Walk Dr'],['1505'],"['1590', '1590', '\\""1', '1000', '1397', '1417', '1500', '1506', '1506', '1766', '1766', '1528', '1578', '1645', '1578']","['3', '3', '3', '2', '3', '4', '4', '3', '4', '3', '3', '3', '4', '4', '4']","['2.5', '2.5', '3', '1.5', '2', '2', '2', '3', '2.5', '3', '3', '3', '3', '3', '3']"
['1025 River Stone Ct'],['1331'],"['1584', '1584', '\\""1', '1228', 'null', '925', '925', '1443', '884', '1722', '1071']","['3', '3', '3', '3', '0', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', 'null', '2', '2', '2', '2', '2.5', '2']"
['3042 Deerfield Way'],['1345'],"['1356', '1356', '\\""1', '1356', '1606', '1788', '1522', '1176', '1628', '2024', '2110', '1584', '1281', '624', '1350', '1350', '1738', '999', '1338']","['3', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2', '2', '2', '2', '2.5', '2', '2', '2', 'null', '2', '2.5', '3', '2', '2.5', '2', '2', '3', '2.5', '2']"
['1405 Pebble Beach Ln'],['1530'],"['2105', '2105', '\\""2', '1392', '2090', '1127', '1251', '2254', '1640', '2700', '2087', '1252']","['3', '3', '3', '3', '4', '3', '3', '4', '3', '4', '3', '3']","['2.5', '2.5', '3', '1.5', '2.5', '2.5', '2.5', '2.5', '2.5', '3', '2', '2.5']"
