Address,Price,livingArea,bedrooms,bathroom
['Benteen Ave SE'],['997'],"['825', '825', '\\""825 sqft\\""', '675', '675', '675', '675', '721', '721', '675', '675', '2700', '2520', '1235', '2576', '2600', '2576', '2172', '1029']","['2', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1', '4', '3', '3', '4', '4', '5', '3', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '2.5', '2', '2.5', '3', '3', '2.5', '1']"
['2353 Bonner Rd'],['1325'],"['1199', '1199', '\\""1', '1034', '1086', '864', '1366', '1428', '1086', '1053', '1740', '1295', '996', '906', '1038']","['4', '4', '4', '2', '3', '3', '3', '3', '3', '2', '3', '3', '3', '2', '3']","['2', '2', '2', '1', '1', '1', '1.5', '2', '1', '1', '2', '3', '1', '1', '1']"
['2031 Dodson Dr SW'],['1250'],"['1003', '1003', '\\""1', '1794', '1524', '1370', '1496', '848', '2160', '1612', '1184', '1149']","['3', '3', '3', '3', '2', '3', '3', '3', '4', '3', '2', '3']","['2', '2', '2', '1', '1', '2', '1.5', '2', '1', '2', '1.5', '2']"
['3585 Ingledale Dr SW'],['1595'],"['2114', '2114', '\\""2', '1463', '1478', '1436', '1160', '952', '1137', '1390', '1482', '1686', '1863', '1296', '1060']","['4', '4', '4', '3', '3', '3', '3', '3', '3', '3', '4', '3', '3', '3', '2']","['3', '3', '3', '2', '2', '2', '2', '1', '1', '1.5', '2', '2', '2', '2', '1']"
['160 The Prado NE'],['6995'],"['3586', '3586', '\\""3', '4966', '3817', '6100', '1884', '3713', '3883', '5087', '1190', '3825']","['4', '4', '4', '4', '4', '5', '2', '4', '4', '6', '4', '4']","['3.5', '3.5', '4', '4', '4', '7', '2', '4', '2.5', '7', '3', '5']"
['8523 Colony Club Dr'],['1950'],"['1680', '1680', '\\""1', 'null', '1655', '1924', '1764', '2278', '1700', '2538', '1583', '2000']","['4', '4', '4', '2', '3', '3', '3', '3', '3', '4', '3', '4']","['3', '3', '3', '3', '2', '2', '3', '2.5', '2', '3', '2', '3']"
['5380 Morning Creek Cir'],['1349'],"['1592', '1592', '\\""1', '1068', '1640', '1892', 'null', '1082', '1677', '1104', 'null']","['3', '3', '3', '3', '4', '3', 'null', '3', '3', '3', 'null']","['2', '2', '2', '2', '2', '2', 'null', '2', '2', '2', 'null']"
['330 Driver Circle Ct'],['2995'],"['5631', '5631', '\\""5', '5275', '3934', '2929', '2768', '3577', '3413', '2968', 'null']","['6', '6', '6', '4', '4', '4', '3', '4', '4', '5', 'null']","['5.5', '5.5', '6', '4', '3.5', '3.5', '5', '3.5', '4', '4.5', 'null']"
['4645 Valais Ct'],['1375'],"['1316', '1316', '\\""1', '1700', '1762', '1875', '1316', '1316', '1316', '1316', '1388', '1388', '1316', '1370']","['2', '2', '2', '3', '3', '3', '2', '2', '2', '3', '3', '3', '2', '3']","['2.5', '2.5', '3', '2', '2.5', '2', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '3', '2.5']"
['137 Willis St NW'],['950'],"['1000', '1000', '\\""1', '1000', '1360', '1050', '1023', '1000', '1100', '2200', '965', '1008', '750']","['3', '3', '3', '3', '2', '3', '4', '3', '3', '5', '2', '2', '2']","['1', '1', '1', '1', '2', '1', '2', '1', '1', '3', '1.5', '1', '1']"
['225 Masters View Ct'],['2800'],"['3840', '3840', '\\""3', '2236', '2402', '2500', '4800', '4900', '2998', '5297', '2880', '3815', '4700', '4105']","['6', '6', '6', '3', '4', '4', '6', '5', '5', '5', '4', '3', '5', '4']","['4', '4', '4', '2.5', '2.5', '2.5', '4', '5', '5', '5', '2.5', '2.5', '5', '3.5']"
['185 Corinth Ct'],['1985'],"['1306', '1306', '\\""1', '2106', '1347', '1283', '800', '1306', '1440', '2480', '1814', '1412', '2253', '1646', '2700']","['3', '3', '3', '4', '3', '3', '1', '3', '3', '3', '3', '3', '4', '3', '4']","['3', '3', '3', '2.5', '2', '1', '1', '3', '2', '4', '2', '2', '2.5', '2', '3']"
['2030 Defoor Ave NW'],['1195'],"['900', '900', '\\""900 sqft\\""', '794', '839', '850', '851', '850', '851', '851', '850', '900', '750', '1250', '900', '1040', '780', '1040', '780']","['2', '2', '2', '1', '1', '2', '1', '2', '1', '1', '2', '2', '1', '2', '2', '2', '1', '2', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '1']"
['Akron Dr SE'],['1250'],"['1075', '1075', '\\""1', '1025', '800', '1400', '1386', '1630', '1275', '1254', '1392', '1001', '968', '1140', '1116', '1422', '986', '1135', '1075']","['3', '3', '3', '3', '2', '3', '3', '4', '4', '3', '3', '3', '2', '4', '4', '3', '3', '4', '3']","['1.5', '1.5', '2', '1.5', '1', '1', '2.5', '3', '2', '2', '1', '2', '1', '1', '1', '1', '1', '1', '2']"
['820 Welch St SW'],['1600'],"['1238', '1238', '\\""1', '1316', '1100', '1168', '1468', '1332', '1178', '1056', '1226', '758', 'null', '782', '1856', 'null', 'null']","['3', '3', '3', '3', '4', '3', '3', '3', '3', '2', '4', '2', '2', '3', '3', 'null', 'null']","['2', '2', '2', '2', '2', '2', '2', '2.5', '2', '1', '2', '1', '1', '3', '2', 'null', 'null']"
['260 Kinsey Ct NE'],['1400'],"['1000', '1000', '\\""1', '1200', '1685', '1188', '1000', '1159', '1004', '2556', '1800', '1800', 'null', '1400']","['2', '2', '2', '2', '3', '2', '2', '2', '2', '4', '1', '3', 'null', '2']","['1', '1', '1', '1', '2', '1.5', '1', '1', '1.5', '3.5', '1.5', '2', 'null', '1']"
['4860 Long Island Dr NE'],['5500'],"['4500', '4500', '\\""4', '2700', '3890', '4936', '4196', '3622', '3600', '2706', '2726', '3734', '4256']","['5', '5', '5', '3', '4', '5', '4', '4', '4', '5', '3', '5', '4']","['5.5', '5.5', '6', '3.5', '3.5', '6', '3.5', '4', '4', '3.5', '2.5', '4', '3.5']"
